transects,model,bias_per_transect,observed_nests
bias_tr1,HDS,-0.019083814,8.361933333
bias_tr2,HDS,-0.026076969,3.222
bias_tr3,HDS,0.028296238,3.080266667
bias_tr4,HDS,0.000629395,0.445066667
bias_tr5,HDS,-0.013262224,6.550866667
bias_tr6,HDS,-0.025670539,5.894933333
bias_tr7,HDS,0.004776008,2.641266667
bias_tr8,HDS,0.00529026,1.587533333
bias_tr9,HDS,-0.016085404,0.630733333
bias_tr10,HDS,-0.008643445,0.552066667
bias_tr11,HDS,0.008403766,9.392
bias_tr12,HDS,-0.020206951,1.886333333
bias_tr13,HDS,0.031839326,6.1038
bias_tr14,HDS,0.009112184,2.529266667
bias_tr15,HDS,0.027716811,3.7336
bias_tr16,HDS,-0.002082794,3.231066667
bias_tr17,HDS,-0.012067222,4.602466667
bias_tr18,HDS,0.018172908,5.368333333
bias_tr19,HDS,0.037699078,6.422733333
bias_tr20,HDS,-0.04479019,7.524
bias_tr21,HDS,-0.024081174,6.269666667
bias_tr22,HDS,0.026859958,2.129466667
bias_tr23,HDS,0.002839552,2.4456
bias_tr24,HDS,-0.009472979,7.286266667
bias_tr25,HDS,0.028747347,3.032
bias_tr26,HDS,-0.016941306,1.398
bias_tr27,HDS,6.51668E-05,1.3762
bias_tr28,HDS,0.012709852,1.044
bias_tr29,HDS,-0.015311034,3.239066667
bias_tr30,HDS,-0.105234626,8.915533333
bias_tr31,HDS,0.064476906,11.55133333
bias_tr32,HDS,0.024485437,8.1896
bias_tr33,HDS,-0.018246278,2.0432
bias_tr34,HDS,-0.009754044,0.905533333
bias_tr35,HDS,0.00598781,2.435
bias_tr36,HDS,-0.115379506,8.6038
bias_tr37,HDS,-0.324292923,31.46646667
bias_tr38,HDS,-0.075418544,33.2728
bias_tr39,HDS,-0.111193252,16.39673333
bias_tr40,HDS,-0.228623792,37.04666667
bias_tr41,HDS,-0.32309262,39.22633333
bias_tr42,HDS,-0.509855321,33.61013333
bias_tr43,HDS,0.497762658,27.20133333
bias_tr44,HDS,-0.01209298,36.30026667
bias_tr45,HDS,-0.429338032,29.9906
bias_tr46,HDS,-0.042742891,35.153
