transects,model,bias_per_transect,observed_dung
bias_tr1,MHDS,0.009283557,0.583933333
bias_tr2,MHDS,-0.045326866,2.8744
bias_tr3,MHDS,0.009291891,2.7006
bias_tr4,MHDS,0.090234524,13.1016
bias_tr5,MHDS,0.00461762,1.015933333
bias_tr6,MHDS,-0.020025415,1.204933333
bias_tr7,MHDS,-0.020482614,3.7598
bias_tr8,MHDS,-0.043626627,7.003466667
bias_tr9,MHDS,-0.080364813,14.40286667
bias_tr10,MHDS,0.160077093,19.71153333
bias_tr11,MHDS,-0.009888396,0.459066667
bias_tr12,MHDS,0.014588521,1.455533333
bias_tr13,MHDS,-0.008789152,1.112333333
bias_tr14,MHDS,0.018229333,3.7698
bias_tr15,MHDS,0.032020073,1.389933333
bias_tr16,MHDS,0.024906749,2.375866667
bias_tr17,MHDS,0.017662107,1.531533333
bias_tr18,MHDS,0.009886866,1.297266667
bias_tr19,MHDS,-0.011126423,0.920666667
bias_tr20,MHDS,-0.004923481,0.848266667
bias_tr21,MHDS,0.005766033,1.038133333
bias_tr22,MHDS,0.007782965,4.912
bias_tr23,MHDS,0.053524436,4.163133333
bias_tr24,MHDS,-0.016456354,0.7948
bias_tr25,MHDS,0.010444756,3.029266667
bias_tr26,MHDS,-0.079067233,4.749533333
bias_tr27,MHDS,0.009455473,5.282733333
bias_tr28,MHDS,-0.028448744,4.935533333
bias_tr29,MHDS,-0.001274125,2.343
bias_tr30,MHDS,0.001252684,0.590266667
bias_tr31,MHDS,0.003079853,0.219533333
bias_tr32,MHDS,0.004524157,0.5996
bias_tr33,MHDS,0.005161914,5.2496
bias_tr34,MHDS,0.009772639,4.720533333
bias_tr35,MHDS,-0.034835737,4.093933333
bias_tr36,MHDS,-0.007362225,0.410333333
